Date,Open,High,Low,Close,Volume,DayOfWeek,Month,PriceChange
2010-06-29,19.0,25.0,17.540001,23.889999,18766300,1,6,
2010-06-30,25.790001,30.42,23.299999,23.83,17187100,2,6,-0.002511469339115502
2010-07-01,25.0,25.92,20.27,21.959999,8218800,3,7,-0.07847255560218203
2010-07-02,23.0,23.1,18.709999,19.200001,5139800,4,7,-0.12568297475787682
2010-07-06,20.0,20.0,15.83,16.110001,6866900,1,7,-0.160937491617839
2010-07-07,16.4,16.629999,14.98,15.8,6921700,2,7,-0.019242767272329764
2010-07-08,16.139999,17.52,15.57,17.459999,7711400,3,7,0.10506322784810118
2010-07-09,17.58,17.9,16.549999,17.4,4050600,4,7,-0.0034363690398837576
2010-07-12,17.950001,18.07,17.0,17.049999,2202500,0,7,-0.020114999999999883
2010-07-13,17.389999,18.639999,16.9,18.139999,2680100,1,7,0.06392962251786649
2010-07-14,17.940001,20.15,17.76,19.84,4195200,2,7,0.09371560604826934
2010-07-15,19.940001,21.5,19.0,19.889999,3739800,3,7,0.0025201108870966937
2010-07-16,20.700001,21.299999,20.049999,20.639999,2621300,4,7,0.037707392544363616
2010-07-19,21.370001,22.25,20.92,21.91,2486500,0,7,0.061531059182706294
2010-07-20,21.85,21.85,20.049999,20.299999,1825300,1,7,-0.0734824737562757
2010-07-21,20.66,20.9,19.5,20.219999,1252500,2,7,-0.003940886893639695
2010-07-22,20.5,21.25,20.370001,21.0,957800,3,7,0.038575719019570576
2010-07-23,21.190001,21.559999,21.059999,21.290001,653600,4,7,0.013809571428571532
2010-07-26,21.5,21.5,20.299999,20.950001,922200,0,7,-0.015969938188354238
2010-07-27,20.91,21.18,20.26,20.549999,619700,1,7,-0.019093173312974998
2010-07-28,20.549999,20.9,20.51,20.719999,467200,2,7,0.008272506485280218
2010-07-29,20.77,20.879999,20.0,20.35,616000,3,7,-0.017857095456423555
2010-07-30,20.200001,20.440001,19.549999,19.940001,426900,4,7,-0.020147371007371184
2010-08-02,20.5,20.969999,20.33,20.92,718100,0,8,0.04914738971176602
2010-08-03,21.0,21.950001,20.82,21.950001,1230500,1,8,0.04923522944550651
2010-08-04,21.950001,22.18,20.85,21.26,913000,2,8,-0.03143512385261393
2010-08-05,21.540001,21.549999,20.049999,20.450001,796200,3,8,-0.03809967074317977
2010-08-06,20.1,20.16,19.52,19.59,741900,4,8,-0.04205383657438455
2010-08-09,19.9,19.98,19.450001,19.6,812700,0,8,0.0005104645227158588
2010-08-10,19.65,19.65,18.82,19.030001,1281300,1,8,-0.029081581632653175
2010-08-11,18.690001,18.879999,17.85,17.9,797600,2,8,-0.059379975860222034
2010-08-12,17.799999,17.9,17.389999,17.6,691000,3,8,-0.016759776536312665
2010-08-13,18.18,18.450001,17.66,18.32,634000,4,8,0.040909090909090784
2010-08-16,18.450001,18.799999,18.26,18.780001,485800,0,8,0.025109224890829562
2010-08-17,18.959999,19.4,18.780001,19.15,447900,1,8,0.019701756139416604
2010-08-18,19.59,19.59,18.6,18.77,601300,2,8,-0.01984334203655347
2010-08-19,18.540001,19.25,18.33,18.790001,579100,3,8,0.001065583377730439
2010-08-20,18.65,19.110001,18.51,19.1,296000,4,8,0.01649808320925583
2010-08-23,19.09,20.389999,19.0,20.129999,1088100,0,8,0.05392664921465973
2010-08-24,19.25,19.709999,18.950001,19.200001,673100,1,8,-0.04619960487827157
2010-08-25,19.16,19.98,18.559999,19.9,503300,2,8,0.03645827935113122
2010-08-26,19.889999,20.27,19.6,19.75,433800,3,8,-0.007537688442211032
2010-08-27,19.75,19.870001,19.5,19.700001,379600,4,8,-0.0025315949367088475
2010-08-30,19.700001,20.190001,19.610001,19.870001,732800,0,8,0.008629441186322584
2010-08-31,19.66,19.790001,19.33,19.48,201100,1,8,-0.01962762860454803
2010-09-01,19.620001,20.690001,19.6,20.450001,494900,2,9,0.04979471252566725
2010-09-02,20.370001,21.24,20.309999,21.059999,487100,3,9,0.02982875159761611
2010-09-03,20.870001,21.299999,20.66,21.049999,434600,4,9,-0.0004748338307138944
2010-09-07,20.610001,21.0,20.5,20.540001,243400,1,9,-0.024227934642657156
2010-09-08,20.66,20.950001,20.6,20.9,288400,2,9,0.017526727481658844
2010-09-09,21.0,21.049999,20.690001,20.709999,376200,3,9,-0.009090956937798933
2010-09-10,20.75,20.93,19.76,20.17,386600,4,9,-0.026074313185625808
2010-09-13,20.889999,20.9,20.5,20.719999,360800,0,9,0.027268170550322157
2010-09-14,20.540001,21.6,20.530001,21.120001,654700,1,9,0.019305116761829888
2010-09-15,20.98,22.0,20.790001,21.98,684600,2,9,0.04071964769319858
2010-09-16,22.15,23.16,20.84,20.940001,2684500,3,9,-0.0473156960873522
2010-09-17,21.02,21.32,19.799999,20.23,1198500,4,9,-0.03390644537218501
2010-09-20,20.67,21.35,20.16,21.059999,947500,0,9,0.041028126544735644
2010-09-21,20.889999,21.549999,20.67,20.77,796000,1,9,-0.013770133607318824
2010-09-22,20.870001,20.950001,19.799999,19.870001,962900,2,9,-0.04333168030813683
2010-09-23,19.889999,20.139999,19.5,19.559999,668100,3,9,-0.01560150902861035
2010-09-24,19.950001,20.190001,19.65,20.1,578900,4,9,0.027607414499356553
2010-09-27,20.4,20.809999,20.049999,20.530001,418600,0,9,0.021393084577114196
2010-09-28,21.040001,21.49,20.76,21.4,1214500,1,9,0.04237695848139511
2010-09-29,21.190001,22.030001,21.129999,21.98,1969300,2,9,0.02710280373831786
2010-09-30,22.0,22.15,20.190001,20.41,2195800,3,9,-0.0714285714285714
2010-10-01,20.690001,20.75,20.309999,20.6,597700,4,10,0.009309162175404229
2010-10-04,20.43,21.17,20.299999,20.99,643600,0,10,0.018932038834951204
2010-10-05,21.15,21.280001,21.01,21.120001,332000,1,10,0.006193473082420242
2010-10-06,21.059999,21.26,20.32,20.459999,313400,2,10,-0.03125009321732508
2010-10-07,20.57,20.639999,20.34,20.43,141000,3,10,-0.0014662268556318026
2010-10-08,20.43,20.790001,20.389999,20.43,267800,4,10,0.0
2010-10-11,20.440001,20.700001,20.07,20.24,171200,0,10,-0.00930004894762615
2010-10-12,20.200001,20.280001,20.030001,20.24,244000,1,10,0.0
2010-10-13,20.639999,20.85,20.360001,20.540001,318200,2,10,0.014822183794466426
2010-10-14,21.0,21.030001,20.4,20.75,294800,3,10,0.010223904078680457
2010-10-15,20.889999,20.9,20.25,20.540001,284700,4,10,-0.01012043373493976
2010-10-18,20.52,20.639999,20.219999,20.23,162800,0,10,-0.015092550384978032
2010-10-19,20.200001,20.41,20.0,20.049999,245200,1,10,-0.008897726149283303
2010-10-20,20.16,20.690001,20.040001,20.65,312500,2,10,0.02992523840026129
2010-10-21,20.610001,20.950001,20.450001,20.75,417100,3,10,0.004842615012106588
2010-10-22,20.68,20.93,20.549999,20.719999,161100,4,10,-0.0014458313253011834
2010-10-25,20.940001,20.98,20.73,20.85,118500,0,10,0.006274179839487415
2010-10-26,20.799999,21.870001,20.51,21.360001,660900,1,10,0.02446047961630682
2010-10-27,21.25,21.379999,20.65,21.0,356500,2,10,-0.016853978611705123
2010-10-28,21.389999,21.5,20.959999,21.190001,224200,3,10,0.009047666666666565
2010-10-29,21.139999,21.85,21.049999,21.84,280600,4,10,0.030674797986087965
2010-11-01,21.940001,22.75,21.309999,21.41,455800,0,11,-0.01968864468864473
2010-11-02,21.68,21.879999,21.049999,21.25,322500,1,11,-0.007473143390938852
2010-11-03,21.280001,22.5,21.16,21.77,372600,2,11,0.024470588235294022
2010-11-04,22.6,25.33,22.15,24.9,1874000,3,11,0.1437758383096004
2010-11-05,24.870001,24.969999,23.719999,24.440001,1011000,4,11,-0.01847385542168678
2010-11-08,24.5,25.0,24.030001,24.98,509500,0,11,0.022094884529669345
2010-11-09,25.0,25.690001,24.049999,24.629999,956400,1,11,-0.014011248999199366
2010-11-10,24.48,29.969999,24.049999,29.360001,3060500,2,11,0.19204231392782423
2010-11-11,28.6,29.1,27.33,28.040001,1945300,3,11,-0.04495912653408973
2010-11-12,28.25,30.5,28.07,29.84,2729100,4,11,0.06419397060649179
2010-11-15,30.219999,32.939999,30.219999,30.799999,2622900,0,11,0.03217154825737256
2010-11-16,31.0,31.4,28.42,29.67,1347600,1,11,-0.03668828041195704
2010-11-17,30.200001,30.75,28.610001,29.49,750000,2,11,-0.006066734074823166
2010-11-18,30.67,30.74,28.92,29.889999,956100,3,11,0.013563886063072239
2010-11-19,30.16,31.370001,29.700001,30.99,1150500,4,11,0.03680164057549806
2010-11-22,31.57,33.450001,31.5,33.400002,1529700,0,11,0.07776708615682493
2010-11-23,33.290001,35.68,32.189999,34.57,1577800,1,11,0.035029878141923376
2010-11-24,35.27,35.970001,34.330002,35.470001,1425000,2,11,0.02603416256870128
2010-11-26,35.599998,36.0,34.75,35.32,350600,4,11,-0.004228953926446288
2010-11-29,35.41,35.950001,33.330002,34.330002,1145600,0,11,-0.028029388448471138
2010-11-30,33.740002,35.330002,33.41,35.330002,2222600,1,11,0.02912903995752747
2010-12-01,35.869999,36.419998,33.450001,34.349998,1299200,2,12,-0.027738577540980636
2010-12-02,34.009998,34.299999,31.200001,32.349998,2007000,3,12,-0.05822416641770989
2010-12-03,32.009998,32.25,30.870001,31.49,1160100,4,12,-0.026584174750180822
2010-12-06,31.35,31.450001,29.559999,30.309999,1274400,0,12,-0.03747224515719272
2010-12-07,30.49,32.400002,30.049999,31.559999,1311300,1,12,0.04124051604224732
2010-12-08,32.48,32.490002,31.52,32.369999,660000,2,12,0.025665400052769183
2010-12-09,32.509998,32.720001,31.65,32.049999,406000,3,12,-0.0098856969380815
2010-12-10,32.049999,32.919998,31.129999,31.52,429400,4,12,-0.016536630781174178
2010-12-13,31.639999,31.77,30.4,30.549999,410400,0,12,-0.030774143401015253
2010-12-14,30.290001,30.389999,27.76,28.530001,1765700,1,12,-0.06612104962753029
2010-12-15,28.67,29.969999,28.530001,29.6,742900,2,12,0.03750434498758004
2010-12-16,30.0,30.91,29.65,30.809999,790100,3,12,0.04087834459459461
2010-12-17,31.34,31.540001,30.709999,31.360001,813000,4,12,0.017851412458663063
2010-12-20,31.639999,32.189999,31.26,31.700001,523400,0,12,0.01084183638897196
2010-12-21,31.799999,32.689999,31.709999,32.259998,777700,1,12,0.017665519947460018
2010-12-22,32.25,32.860001,31.700001,32.630001,833300,2,12,0.01146940554677034
2010-12-23,31.26,32.48,29.92,30.09,1552600,3,12,-0.07784250450988339
2010-12-27,28.02,28.58,25.059999,25.549999,9301900,0,12,-0.15088072449318712
2010-12-28,25.85,26.75,25.0,26.41,4056300,1,12,0.03365953165007962
2010-12-29,27.030001,28.01,26.5,27.73,3319200,2,12,0.04998106777735711
2010-12-30,27.700001,27.9,26.379999,26.5,2041100,3,12,-0.04435629282365672
2010-12-31,26.57,27.25,26.5,26.629999,1417900,4,12,0.0049056226415093995
2011-01-03,26.84,27.0,25.9,26.620001,1283000,0,1,-0.0003754412457921408
2011-01-04,26.66,26.950001,26.02,26.67,1187400,1,1,0.0018782493659561528
2011-01-05,26.48,26.9,26.190001,26.83,1446700,2,1,0.005999250093738251
2011-01-06,26.83,28.0,26.809999,27.879999,2061200,3,1,0.03913525903838999
2011-01-07,28.0,28.58,27.9,28.24,2247900,4,1,0.01291251839714902
2011-01-10,28.17,28.68,28.049999,28.450001,1342700,0,1,0.007436296033994427
2011-01-11,28.59,28.709999,26.92,26.959999,1710200,1,1,-0.05237265193769236
2011-01-12,27.01,27.4,26.52,26.959999,964400,2,1,0.0
2011-01-13,26.959999,26.969999,26.16,26.219999,723600,3,1,-0.027448072234720677
2011-01-14,26.15,26.58,25.610001,25.75,1192000,4,1,-0.017925210447185758
2011-01-18,25.48,25.639999,24.75,25.639999,1621700,1,1,-0.004271883495145623
2011-01-19,25.27,25.469999,23.75,24.030001,2371500,2,1,-0.06279243614635088
2011-01-20,24.030001,24.450001,22.370001,22.620001,2279900,3,1,-0.05867665174046399
2011-01-21,23.120001,23.59,22.709999,23.040001,1217000,4,1,0.018567638436443934
2011-01-24,23.530001,24.809999,23.23,24.49,1645100,0,1,0.0629339816434904
2011-01-25,24.65,24.889999,24.02,24.68,1271500,1,1,0.007758268681094416
2011-01-26,24.709999,24.879999,24.1,24.75,1079900,2,1,0.002836304700162051
2011-01-27,24.74,25.08,24.530001,24.92,895700,3,1,0.006868686868686913
2011-01-28,24.879999,24.879999,23.75,24.01,1048400,4,1,-0.0365168539325843
2011-01-31,24.049999,24.120001,23.5,24.1,830300,0,1,0.0037484381507704168
2011-02-01,24.309999,24.73,23.540001,23.91,707800,1,2,-0.007883817427385975
2011-02-02,24.16,24.18,23.67,23.940001,569500,2,2,0.0012547469677959278
2011-02-03,23.82,23.9,23.15,23.629999,512000,3,2,-0.01294912226611844
2011-02-04,23.440001,23.67,23.219999,23.459999,544000,4,2,-0.00719424490877052
2011-02-07,23.26,23.26,22.879999,23.07,895100,0,2,-0.01662399900358047
2011-02-08,23.780001,25.25,23.0,24.49,3504900,1,2,0.06155179887299522
2011-02-09,24.129999,24.18,22.790001,23.209999,2635600,2,2,-0.0522662719477337
2011-02-10,23.26,23.639999,22.809999,23.219999,836100,3,2,0.00043084879064414494
2011-02-11,23.25,23.75,22.940001,23.25,634500,4,2,0.0012920327860479475
2011-02-14,23.639999,24.139999,23.049999,23.08,1283100,0,2,-0.00731182795698937
2011-02-15,23.01,23.17,22.559999,22.84,953700,1,2,-0.010398613518197486
2011-02-16,23.1,24.969999,23.07,24.73,4115100,2,2,0.08274956217162877
2011-02-17,24.629999,25.49,23.549999,23.6,2618400,3,2,-0.04569348968863729
2011-02-18,23.33,23.49,22.959999,23.18,2370700,4,2,-0.017796610169491633
2011-02-22,22.879999,23.0,21.780001,21.870001,2064600,1,2,-0.056514193270060464
2011-02-23,22.18,22.5,21.110001,21.83,1605600,2,2,-0.0018290351244154568
2011-02-24,21.780001,22.58,21.5,22.530001,1055300,3,2,0.03206601007787446
2011-02-25,22.809999,23.85,22.690001,23.610001,1346300,4,2,0.04793608309205144
2011-02-28,23.74,24.1,23.5,23.889999,1051200,0,2,0.011859296405789976
2011-03-01,24.049999,24.32,23.700001,23.940001,1106400,1,3,0.002093009715069538
2011-03-02,23.82,24.280001,23.73,24.02,663300,2,3,0.0033416456415353846
2011-03-03,24.48,24.790001,24.059999,24.360001,640200,3,3,0.014154912572855949
2011-03-04,24.48,24.99,23.780001,24.950001,1580100,4,3,0.02422003184646826
2011-03-07,24.93,25.4,24.700001,24.940001,2033600,0,3,-0.0004008015871422854
